Month,Indian_Party,JVorWOS_name,JV_or_WOS,Overseas_Country,Activity,Equity,Loan,Guarantee _Issued,Total
April,RAGINI ROY,"UNIPHORE TECHNOLOGIES , INC",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0944,0,0,0.0944
April,RAHIL IRFAN IQBAL SHAIKH,SIR AGRO TRADING LLC,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0776,0,0,0.0776
April,RAHUL AGGARWAL,SILVERSTEEL EUROPE BV,JV,BELGIUM,MANUFACTURING,0.0048,0,0,0.0048
April,RAIN INDUSTRIES LIMITED,RAIN HOLDING LTD,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",10,0,0,10
April,RAJAT VERMA,URBAN PARK DEVELOPERS LDA,WOS,PORTUGAL,CONSTRUCTION,0.112,0,0,0.112
April,RAJENDRA KUMAR,PERITUS INFRA AFRICA PVT LIMITED,JV,TANZANIA,MANUFACTURING,0.027,0,0,0.027
April,RAJENDRA KUMAR SAHU,QUICKFIND INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0252,0,0,0.0252
April,RAJESH RAY,INNOVERV GLOBAL SOLUTIONS LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0063,0,0,0.0063
April,RAJGOR PROTEINS LIMITED,RAJGOR SINGAPORE PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0007,0,0,0.0007
April,RAKESH KUMAR AGARWAL,CORAL SOFTWARE SOLUTIONS LLC FZ,JV,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0041,0,0,0.0041
April,RALSON (INDIA) LTD,ZLEEN EUROPE S.R.O,JV,CZECH REPUBLIC,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.51,0,0,0.51
April,RAMCO SYSTEMS LTD.,RAMCO SYSTEM KOREA COMPANY LIMITED,WOS,SOUTH KOREA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.3718,0,0,0.3718
April,RANE HOLDINGS LIMITED,AUTOTECH FUND I LP,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.03,0,0,0.03
April,RANJI JOHN,DOUBLE HORSE FOODS LLC FZ,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0272,0,0,0.0272
April,RATAN LAL SINGH CHAUHAN,INTELLOCORE PTE LIMITED,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0152,0,0,0.0152
April,RAYS SUNSHINE EDUTECH SERVICES LLP,BASH B V,JV,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.25,0,0,1.25
April,REEMA PATHAK,PI SQUARE BRIDGE WAY ADVISORS LLP,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.02,0,0,0.02
April,REGAL KITCHEN FOODS LTD,REGAL KITCHEN FOODS USA LLC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.005,0,0,0.005
April,REHAN ELAHI,FOREVER CONSUMER PRODUCTS - FZCO,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0054,0,0,0.0054
April,RELIANCE INDUSTRIES LTD,BREAKTHROUGH ENERGY VENTURES II L.P,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",3.4661,0,0,3.4661
April,RELIANCE INDUSTRIES LTD,BREAKTHROUGH ENERGY VENTURES LLC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.7215,0,0,0.7215
April,RELIANCE STRATEGIC BUSINESS VENTURES LIMITED,INDIAWIN SPORTS MIDDLE EAST LIMITED,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",2.75,0,0,2.75
April,RELIEFLINE GLOBAL PRIVATE LIMITED,RELIEFLINE ZIMBABWE(PRIVATE)LIMITED,WOS,ZIMBABWE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.002,0,0,0.002
April,REMUS PHARMACEUTICALS LIMITED,RELIUS PHARMA S.R.L,JV,BOLIVIA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0088,0,0,0.0088
April,RENEW PRIVATE LIMITED,RENEW GREEN PROJECTS PTE.LTD,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.25,0,0.25
April,RENEW PRIVATE LIMITED,RENEW POWER INTERNATIONAL LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.7736,0,0,0.7736
April,RENEW PRIVATE LIMITED,RENEW ENERGY GLOBAL AMERICAS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.01,0,0,0.01
April,RHR MEDICARE PVT LTD,RHR MEDICARE BC LIMITED,WOS,CANADA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0001,0,0,0.0001
April,RIPLEY AND COMPANY STEVEDORING & HANDLING PVT LTD,RIPLEY INTERNATIONAL DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,6.178,6.178
April,RISHI FIBC SOLUTIONS PRIVATE LIMITED,"RISHI FIBC SOLUTIONS SPAIN, S.L.",WOS,SPAIN,MANUFACTURING,0,0.225,0,0.225
April,RMX INDUSTRIES PVT LTD,BLUEBIRD INDUSTRIES INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0.1,0,0,0.1
April,ROHIT KANUGA,BASIS VECTOR INVESTMENT HOLDINGS INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.015,0,0,0.015
April,ROHIT SUHAS BHAGWAT,ZS ASSOCIATES GROUP INC.,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1013,0,0,0.1013
April,RS FILMCRAFT (OPC) PVT LTD,RSB WORLDWIDE - FZCO,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,2.7094,0,2.7094
April,RUDRA BHANU SATAPATHY,AERP CONFERENCES - FZCO,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.0136,0,0,0.0136
April,S H KELKAR AND COMPANY LIMITED,KEVA FRAGRANCE INDUSTRIES PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,1,1
April,SAATVIK GREEN ENERGY PRIVATE LIMITED,SAATVIK GREEN ENERGY USA INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0.12,0,0.12
April,SAAVAN AND CO,SYNCHRONICITY LABS INC,JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,SABARISH DHANARAJAN,BOOKINGBEE INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,SACHIN AGARWAL,PANITEK POWER AG,JV,SWITZERLAND,"ELECTRICITY, GAS AND WATER",0.0278,0,0,0.0278
April,SAFEX CHEMICALS (INDIA) LIMITED,SAFEX HOLDINGS UK LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,1.2623,0,1.2623
April,SAFFRON MAGICWORKS PRIVATE LIMITED,SAFFRON MAGICWORKS UNITED LLC,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0982,0,0,0.0982
April,SAK INDUSTRIES PRIVATE LIMITED,SAK ABRASIVES INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,1.6,1.6
April,SAKARIYA MINES AND MINERALS PVT. LTD.,GRAPEAK MINERS (TZ) LIMITED,JV,TANZANIA,AGRICULTURE AND MINING,0,0.15,0,0.15
April,SAKHATECH INFORMATION SYSTEMS PRIVATE LIMITED,SAKHA INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.02,0,0,0.02
April,SAMIDHA SOLUTIONS LLP,GTB GLOBAL TALENT BRIDGE GMBH,JV,GERMANY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0125,0,0,0.0125
April,SAMPRE NUTRITIONS LIMITED,SAMPRE NUTRITIONS FZCO,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0.3976,0,0.3976
April,SAMRAT KAR,AARNA AI PTE LTD,JV,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.05,0,0,0.05
April,SAMTA MINES AND MINERALS LIMITED,SAMTA MANAGEMENT SERVICES DMCC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.5,0,0.5
April,SANCHIT SHARMA,AIMIL GLOBAL FZCO,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0082,0,0,0.0082
April,SANDHAR TECHNOLOGIES LTD,SANDHAR TECHNOLOGIES BARCELONA SL,WOS,SPAIN,MANUFACTURING,0,0,2,2
April,SANGHVI BEAUTY AND TECHNOLOGIES PRIVATE LIMITED,SANGHVI BEAUTY AND TECHNOLOGIES INTERNATIONAL PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,1.025,0,1.025
April,SANJANA S,ADS RESTAURANT LLC,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0477,0,0,0.0477
April,SANJANA VERMA,"MY KITCHEN MY STORY, LDA",JV,PORTUGAL,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.075,0,0,0.075
April,SANJAY SHAMLAL GOYAL,VERTEX DISTRIBUTION FZC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0068,0,0,0.0068
April,SANTHANAM ALAGARSAMY,SAI SUBSTRATES SL,WOS,SPAIN,AGRICULTURE AND MINING,0.02,0,0,0.02
April,SARNITHKUMAR B,"KONNECTIFY,INC.",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,SATSURE ANALYTICS INDIA PRIVATE LIMITED,SATSURE LIMITED,WOS,UNITED KINGDOM,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.2525,0,0.2525
April,SATYAM VENTURE ENGINEERING SERVICES PVT LTD,SATYAM VENTURE JAPAN KK,WOS,JAPAN,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.7728,0,0,0.7728
April,SEJAL GLASS LIMITED,SEJAL GLASS AND GLASS MANUFACTURING PRODUCTS LLC,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0,0.25,0.25
April,SENORES PHARMACEUTICALS LIMITED,SENORES PHARMACEUTICALS INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.6,0,0.6
April,SENTISS PHARMA PRIVATE LIMITED,SENTISS AG,WOS,SWITZERLAND,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,2.0618,0,2.0618
April,SERVICE LEE TECHNOLOGIES PRIVATE LIMITED,SERVIFY TURKEY TECHNOLOGY SERVICES TRADE LIMITED,WOS,TURKEY,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.552,0,0,0.552
April,SG MART LIMITED,SG MARTS FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,1.3615,0,1.3615
April,SHAH ASMITA PARESHKUMAR,PI SQUARE BRIDGE WAY ADVISORS LLP,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.245,0,0,0.245
April,SHAH TARIQUE,BOTTOMS ONLY BD LIMITED,WOS,BANGLADESH,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.009,0,0,0.009
April,SHAHI EXPORTS PRIVATE LIMITED,SEWTECH FASHIONS LIMITED,JV,BANGLADESH,MANUFACTURING,0,0.5,0,0.5
April,SHAHI EXPORTS PRIVATE LIMITED,SHAHI PROPERTIES LIMITED,WOS,UNITED KINGDOM,CONSTRUCTION,0.284,0,0,0.284
April,SHAILENDRA SAXENA,JLNUS MANAGEMENT CONSULTANCIES LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0025,0,0,0.0025
April,SHANPARTS LLP,SHANPARTS AFRICA LIMITED,JV,TANZANIA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.024,0,0.024
April,SHARDA CROPCHEM LIMITED,SHARDA DO BRASIL COMERCIO DE PRODUTOS QUIMICOS E AGROQUIMICOS LTDA,WOS,BRAZIL,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0178,0,0,0.0178
April,SHARDA CROPCHEM LIMITED,SHARDA HELLAS AGROCHEMICALS LIMITED,WOS,GREECE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0059,0,0,0.0059
April,SHARDA CROPCHEM LIMITED,SHARDA BALKAN AGROCHEMICALS LIMITED,WOS,GREECE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0059,0,0,0.0059
April,SHARDA CROPCHEM LIMITED,SHARDA SWISS SARL,WOS,SWITZERLAND,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0218,0,0,0.0218
April,SHARE INDIA SECURITIES LIMITED,SHARE INDIA GLOBAL PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.3,0,0.3
April,SHILPA MEDICARE LIMITED,PILNOVA PHARMA INC.,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.05,0,0.05
April,SHRI AMBICA POLYMER PRIVATE LIMITED,STE TEXTILES AGRICOLES DU MAROC SARL,JV,MOROCCO,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.135,0,0.135
April,SHRINATH FLEXIPACK PVT LIMITED,SHRINATH FLEXIPACK PLASTIC INDUSTRIES SOLE PROPRIETORSHIP LLC,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0.1838,0,0.1838
April,SHYAM ASHOK LOKHANDE,SYNERGIA TECHNOLOGIES LIMITED,JV,BANGLADESH,MANUFACTURING,0.006,0,0,0.006
April,SIDDHARTHA TANTIA,GOLDEN MAMA COMPANY LIMITED,JV,TANZANIA,AGRICULTURE AND MINING,0.024,0,0,0.024
April,SIGNOFF SEMICONDUCTORS PRIVATE LIMITED,SIGNOFF SEMICONDUCTORS SHANGHAI CO LTD,JV,CHINA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0088,0,0,0.0088
April,SIL INVESTMENTS LIMITED,SIL INTERNATIONAL PTE LIMITED,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0567,0,0,0.0567
April,SINGH DIAMONDS ENTERPRISE LLP,FENIX VENTURES LIMITED,JV,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0126,0,0,0.0126
April,SISA INFORMATION SECURITY PVT LIMITED,SISA INFORMATION SECURITY SDN BHD,WOS,MALAYSIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1204,0,0,0.1204
April,SISA INFORMATION SECURITY PVT LIMITED,SISA INFORMATION SECURITY QFZ LLC,WOS,QATAR,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.011,0,0,0.011
April,SLK SOFTWARE PRIVATE LIMITED,MALDIVIAN MERMAID PRIVATE LIMITED,JV,MALDIVES,AGRICULTURE AND MINING,0,3,0,3
April,SNOWY OWL INDIA SOURCING PRIVATE LIMITED,ZIRAAF INTERNATIONAL PTE.LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",1.0029,0,0,1.0029
April,SOLAR INDUSTRIES INDIA LIMITED,SOLAR OVERSEAS MAURITIUS LIMITED,WOS,MAURITIUS,MANUFACTURING,0,4,0,4
April,SONATA SOFTWARE SOLUTIONS LIMITED,SONATA SOFTWARE SOLUTIONS,WOS,EGYPT,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0316,0,0,0.0316
April,SONIA K PADDA,HERMES SHIPS AND SERVICES PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0071,0,0,0.0071
April,SONKAMAL ENTERPRISES PRIVATE LIMITED,JANME SINGAPORE PTE LT,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,1.425,1.425
April,SOURCEFUSE TECHNOLOGIES INDIA PRIVATE LIMITED,SOURCEFUSE AUSTRALIA PTY. LTD.,JV,AUSTRALIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,SOURCEFUSE TECHNOLOGIES INDIA PRIVATE LIMITED,SOURCEFUSE LTD (U.K),JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,SOUTH-WEST MINING LIMITED,SOUTH WEST MINING LLC SPC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.4084,0,0.4084
April,SPACENET ENTERPRISES INDIA LTD,SPACENET TRADETECH HK LTD,WOS,HONGKONG,AGRICULTURE AND MINING,0.2263,0,0,0.2263
April,SPARDHA LEARNINGS PRIVATE LIMITED,SPARDHA INC.,WOS,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.001,0,0,0.001
April,SPIRIT MEDIA PRIVATE LIMITED,IRONHILL HOSPITALITY PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0035,0,0,0.0035
April,SREE HARSHA VADLAMUDI,IRONHILL HOSPITALITY PTE LTD,WOS,SINGAPORE,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0051,0,0,0.0051
April,SRKAY CONSULTING GROUP PRIVATE LIMITED,SRKAY CONSULTING PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.13,0,0,0.13
April,SRM TECHNOLOGIES PRIVATE LIMITED,SRM TECH INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.4002,0,0,0.4002
April,STAQU TECHNOLOGIES PRIVATE LIMITED,STAQU TECHNOLOGIES UK LTD,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0001,0,0,0.0001
April,STERLING AND WILSON PVT LTD,STERLING & WILSON INTERNATIONAL FZE,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,3.25,0,3.25
April,STERLING AND WILSON RENEWABLE ENERGY LIMITED,STERLING & WILSON INTERNATIONAL SOLAR FZCO,WOS,UNITED ARAB EMIRATES,CONSTRUCTION,0,1.77,20.0447,21.8147
April,SUBASHANKAR S N,BOOKINGBEE INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,SUBHAMAYA PRADHAN,AD9 EARTH RESOURCES TRADING CO.LLC,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0272,0,0,0.0272
April,SUBHASIS MONDAL,INNOVERV GLOBAL SOLUTIONS LTD,JV,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0063,0,0,0.0063
April,SUDHIR POWER LIMITED,SUDHIR POWER (UK) LIMITED,WOS,UNITED KINGDOM,MISCELLANEOUS,0,5,0,5
April,SUKHESH MARKETING PRIVATE LIMITED,SUKHESH INTERNATIONAL TRADING FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0,0.7,0.7
April,SUMINTER INDIA ORGANICS PRIVATE LIMITED,AGREX LIMITED,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",5.9779,0,0,5.9779
April,SUNFOOD AGRO PRODUCTS PRIVATE LIMITED,SUNFOOD AGRO COMMODITIES LLC,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0.0272,0,0,0.0272
April,SUNIL KUMAR KABRA,JLNUS MANAGEMENT CONSULTANCIES LLC,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0029,0,0,0.0029
April,SUNJEWELS PRIVATE LIMITED,GMG ORO S.R.L,WOS,ITALY,MANUFACTURING,0,0.1,0,0.1
April,SURELOCK PLASTICS PRIVATE LIMITED,SURELOCK PLASTICS S.R.L.,WOS,ITALY,MANUFACTURING,0.02,0,0,0.02
April,SUSHIL KUMAR SAIGAL,SAIGAL SEATRADE SERVICES (IFSC) LLP,WOS,IFSC GIFT CITY,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.075,0,0,0.075
April,SUSHIL LODHA,MIRACLE INGREDIENTS FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0136,0,0,0.0136
April,SUVEN LIFE SCIENCES LIMITED,SUVEN NEUROSCIENCES INC ,WOS,UNITED STATES OF AMERICA,MANUFACTURING,1,0,0,1
April,SV CAPITAL ADVISORS LLP,SV OFFSHORE FUND ADVISOR LLP,WOS,IFSC GIFT CITY,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.55,0,0,0.55
April,SWIFT CARGO PRIVATE LIMITED,SWIFT CARGO LTD,JV,THAILAND,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0.658,0,0.658
April,SYNTHITE INDUSTRIES PRIVATE LIMITED,SYNTHITE RWANDA PRIVATE LIMITED,WOS,RWANDA,MANUFACTURING,0.053,0,0,0.053
April,TANEJA PROJECTS PRIVATE LIMITED,HKT INTERNATIONAL LIMITED,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1994,0,0,0.1994
April,TATA COMMUNICATIONS LIMITED,TATA COMMUNICATIONS INTERNATIONAL PTE LTD,WOS,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0,0,262.5,262.5
April,TATA CONSULTANCY SERVICES LTD.,TCS FNS PTE LTD.,WOS,AUSTRALIA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.6645,0,0.6645
April,TATA SONS PRIVATE LIMITED,MEDTHERAPY BIOTECHNOLOGY INCORPORATED,JV,UNITED STATES OF AMERICA,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",20,0,0,20
April,TATA STEEL LTD,T STEEL HOLDINGS PTE. LTD.,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,124.75,0,124.75
April,TAYYAB REHAN,FOREVER CONSUMER PRODUCTS - FZCO,JV,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0014,0,0,0.0014
April,TBOF FOODS PVT LTD,TBOF FOODS INC.,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.025,0,0,0.025
April,TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,TECHNO ELECTRIC OVERSEAS PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",5,0,0,5
April,TESSA STONES PVT LTD,TESSA STONES INC,WOS,UNITED STATES OF AMERICA,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.12,0,0,0.12
April,TEXPORT APPARELS LLP,"UNIPHORE TECHNOLOGIES , INC",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.5617,0,0,0.5617
April,THERMAX LTD.,THERMAX ENGINEERING SINGAPORE PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",1.32,0,0,1.32
April,THREEFIFTY PPM TECHNOLOGIES PRIVATE LIMITED,THREEFIFTY PPM TECHNOLOGIES PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0007,0,0,0.0007
April,TITAN COMPANY LIMITED,TCL NORTH AMERICA INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0,33,33
April,TOTAL ENVIRONMENT HABITAT PVT LTD,TOTAL ENVIRONMENT CAPITAL INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.3,0,0.3
April,TRACTORS AND FARM EQUIPMENT LIMITED,PRECISION AG TECH TECHNOLOGIES  B V,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",3.15,0,0,3.15
April,TRANSASIA BIO MEDICALS LIMITED,ERBA DIAGNOSTICS HOLDINGS LTD,WOS,IRELAND,MANUFACTURING,0,3.6271,0,3.6271
April,TRENT LIMITED,TRENT GLOBAL HOLDINGS LTD,WOS,MAURITIUS,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",1.2,0,0,1.2
April,TRILLEN HEALTH SERVICES PRIVATE LIMITED,REVIVE PHARMA LIMITED,JV,UGANDA,MANUFACTURING,0.297,0,0,0.297
April,TRITON INTERNATIONAL PVT. LTD.,TRITON GLOBAL FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.385,0,0.385
April,TUSHAR TUTEJA AND FOUNDERS LLP,"ATLABS AI, INC.",JV,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0,0
April,TVS MOTOR COMPANY LTD,TVS MOTOR (SINGAPORE) PTE LTD,WOS,SINGAPORE,MANUFACTURING,19.6,0,0,19.6
April,TVS SRICHAKRA LTD,SUPER GRIP CORPORATION,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,0.35,0,0.35
April,TWENTYONE SUGARS LIMITED,TWENTYONE INTERNATIONAL LIMITED,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.1578,0,0,0.1578
April,TWENTYSIX DECOR SOLUTIONS PRIVATE LIMITED,TRAMPOLINE LTD,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0.0001,0,0,0.0001
April,UMIYA HOLDING PRIVATE LIMITED,AGK PROPERTY HOLDDINGS LIMITED,WOS,UNITED KINGDOM,CONSTRUCTION,1.073,0,0,1.073
April,UNISON GLOBUS AALLIANCES PRIVATE LIMITED,A-UNISON GLOBUS ALLIANCES INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.001,0,0,0.001
